제목
[잡담]갈가디스 엘40+팟 질문있어요
[잡담]9렙을 올릴 예정인데
[잡담]이번 하익으로 소서체험해보려는데 열화아바타못입힘?
[잡담]1540 본케장기주차 소서입니다
[잡담]회심40인데 어떤세팅을해야하나여..
[잡담]특치 종말7홍 노신속
[잡담]배럭 소서리스
[잡담]환류만 1년 넘게 하다 점화로 이번에 넘어왔는데
[잡담]아래방향으로 긴 점멸사용은 불가능한가요?
[잡담]극신환류 333331 각인추천 좀 해주세용!!
[잡담]특치 점화 세트 어떤거쓰나용?
[잡담]전압 실루엣 소서같은데
[잡담]환류 질문좀 해도 될까요?
[잡담]선생님들 각물아드 없어도 1인분 할수있나요 소서?
[잡담]특신점화!! 셋팅 질문이용!!!
[잡담]연습) 와 소서리스 3차각성 너무센거아님??
[잡담]특치 원점타속예아1 악몽 달인은 별로인가요?
[잡담]팔찌 어떤거 써야할까요??
[잡담]악몽 점화 두껍스 노아드노암폭 팟 영상
[잡담]이대로 특치예둔점화로 바꾸면 되겠죠?
[잡담]전압 개 이쁘게 나와야할텐데
[잡담]다필요 없고 기믹달라니까
[잡담]극신점화 상아탑 후기
[잡담]가르가디스 잔혈 먹는 팁
[잡담]이중에 어떤 세팅이 가장 고트임?
[질문]소서질문잇숩니다요
[잡담]팔찌 새로 맞추다가 돈 다날리겠네 ㅠ
[잡담]요즘 환류로 다시 돌아갈까 고민중...
[질문]특치점화 고대셋팅
[질문]1624 특치 점화 질문좀요
[잡담]악세좀 봐주십쇼 형님들...
[잡담]선생님들 팔찌 질문드립니다.
[잡담]소서 팔찌 특화효율질문
[정보]점화는 직각 악세를 유물로 써도 될까?
[잡담]타대9에포7돌을 깎았어요
[잡담]소서리스 고대 전 세팅 이륙 가능?
[잡담]전설 질풍 넣고 라이트닝 볼트 쓰는데 재밌네요~ 그리고...
[잡담]악몽 끝마 평타 컨트롤 이게 당연한거였나요?
[잡담]두꺼비에서 밑줄 먹으려면
[잡담]원예속타점아1 vs 원저속타점아1
[잡담]리버스 스킬을 쓰고 싶은데
[잡담]천하제일 족쇄소서 탄생
[잡담]소서 유물구간 세팅
[잡담]예둔환각 점화 소서 반지
[잡담]예둔은 언제 갈아탐?
[잡담]점화가 내부를 가야하는 이유
[잡담]와 님들 점화 돌대 쓰는거 봤음?
[잡담]소서리스 가성비로 세팅 가능해요?
[잡담]소서 각인 도움 청합니다.
[질문]특치 점화 입니다 시너지 질문요
[잡담]소서 상의 엘릭서는 뭐가 제일 좋나요?
[잡담]카양겔 234줜나 빡치네요
[잡담]여름 하익때 치신 환류 키워볼까 하는데 어떤가요?
[잡담]특신점화 세팅했네요
[잡담]소서 고대 질문이용
[잡담]하의 효율 조언 좀 해 주실 분...
[잡담]안녕하세요 친구 가르쳐주다가 궁금한게 있어서요
[질문]달인40세팅 고민.
[잡담]1597 점화소서 보석 질문 좀 드려용
[질문]특치악몽 아3에1 에서 예둔환각 가는거 얼마나 차이나나요
[잡담]형님들 쾌적한 점화세팅 추천부탁드립니다
[질문]저받 > 예둔 질문좀 드리겠습니다.
[잡담]부캐 소서 세팅 추천 부탁드립니다!!!!
[잡담]극치즉발 질문드립니다!! 답변 이니증정..
[잡담]소서리스 환류 이륙해도 돼요?
[잡담]극신 점화도 즉발 빌드가 있나요??
[잡담]점화 뉴비 고대세팅 예둔환각이 제일 좋을까요?
[잡담]과거 소서는...
[질문]점화 소서 각인 이렇게 가도 될까요?
[잡담]환류는 각인개편이 필요하다고봄
"[잡담]점화 팔찌 질문 : 노옵 망치쇄기, 치신 순환 12%, 특120 망치 8%"
[잡담]환류 관련글도 올려줘...
[잡담]아덴 풀 점화 지속시간이 어느정도 됨 ??
[잡담]오랜만에 소서게에 와봄 ㅎㅇ
[질문]고대 극신점화 셋팅들 중에 고민 중입니다
[잡담]스포 분배 어케하고 계세요??
[잡담]저받예둔 같이쓰면 어떤가요?
[잡담]소서 고대세팅 전 질문있습니다!
[질문]점화3 악세
[질문]특치 예둔 환각 소서 팔찌 선택 고민장애입니다
[잡담]혹한빼고 리버스넣는건 어떤가요?
[잡담]일단 못이기는 직업들
[잡담]악세 품질을 위한 전각 추천 부탁드립니다
[잡담]예둔환각 점화 스킬 채용 질문
[잡담]목걸이 가격 갠춘한가요
[잡담]뭐 저받이 아드 효율이니 뭐니 기타 등등으로
[정보]당신이 저주받은 인형을 쓰지 말아야 할 이유
[잡담]뉴비 스킬포인트 분배 질문좀요!!
[잡담]악몽점화는 무조건 끝마컨해야지 환각보다 셈?
[잡담]1630 특치점화 소서입니다
[질문]특신환각 점화 남바 12vs 알고 18
[잡담]엘릭서 걍 적당히 졸업해도 되려나요?
[잡담]극신점화 타대 돌대
[잡담]쀼캐환류입니다 엘레기안대신 익스 혹은 해일대신 익스 의미있나요
[잡담]요즘 환각예둔이 좋다던데 조언 부탁드려요
[질문]각인 질문입니다
[잡담]1600 레벨대 dps 얼마정도 나와야 할까용..
[잡담]품100악세 먹었는데 시세 얼마정도 될까요
[잡담]특신환각예둔 하고 있는데 특치로 바꿔도 되려나요?
[잡담]요새 특치 점화 대세 셋팅이 머에용?
[잡담]소서도 창술 이길 수 있다!
[질문]소서 눕눕이 세팅 상담 부탁드려요
[질문]뉴비 고대세팅 해주려는데여
[잡담]극신점화 질문
[잡담]행운 쓰는 사람 나 혼자임?
[질문]리액트 vs 아애 어떤게 더 데미지가 쎌까요?
[잡담]보석 질문좀 할게요!
[잡담]97돌이 깎였는데 질문 좀..
[잡담]저받->예둔 지금 제 상황에서 가면 효과얼마나 볼까요?!
[잡담]저받속속 97돌 질문입니다
[잡담]점화 소서 악몽 원한 속속 점화 타대 정단 아드 333331 어떤가요
[잡담]97돌 도전 1일차 후기
[잡담]아무생각없이 깍았는데?
[잡담]저받 > 예둔 넘어가신분들 조언구합니다.
"[잡담]블레 홍염 빼서, 돌풍 빠준 홍염줄까?"
[질문]팔찌 뭐 쓰는게 좋은가요?
[잡담]점화소서 질문있습니다.
[잡담]소서 가르가디스 진짜 너무 구리네요
[잡담]요즘 점화소서 메인 세팅이뭔가요!?
[잡담]점화 보석 세팅좀 봐주세요!
[질문]특치점화 요즘 메인 각인세팅이?
[잡담]끝마 안 해도 익천 홍염 별로 인가요?
[잡담]10홍 사려고하는데 종말 vs 리액트
[잡담]특신환각 해방싸이클 질문
[잡담]하브 2관 1인버스 기준 젤 좋은 빌드는?
[잡담]특신 점화 유물 각인은 뭔가요?
[잡담]극치 즉발환류 각인 질문
[잡담]특신환각점화소서 세팅 잘못한걸까요...?
[잡담]점화랑 저랑 좀 안맞는듯 ㅠㅠ;;
[잡담]점화 예둔..
[잡담]팔찌작 완료
[잡담]소서 요즘도 잔혈딜러인가요?????
[잡담]접기전에 팔찌돌렸는데 소리지름
[잡담]요즘 아애에 전질넣나요?
[잡담]특치소서 팔찌좀요ㅠㅠ
[잡담]특치 악몽 팔찌 신속 82 착용시 체감 있나요?
[잡담]헉 제소서가 드디어 팔찌를 해냈어요!!
[잡담]극치환류 스킬세팅 고민..
[잡담]다들 전설질풍 어디다 박아놓으시나요?
[잡담]점화 환각 소서 질문드립니다
[잡담]소서리스 세팅 좀 도와주세용
[잡담]소서리스 왜키우냐진짜...
[잡담]숭고한해일 vs 리버스  둘 중에 어느게 나을까요
[잡담]재업)카멘 대비 멤버 모십니다.
[잡담]팔찌 특화대신 치신?
[잡담]실제론 악몽저받이 대부분이네요
[질문]특신 환각 점화 질문
[질문]특치 소서리스 예둔 vs 저받
[잡담]특치예둔 달인!
[잡담]선생님들 97돌 깍을때 돌파고 보셨나요?
[잡담]예둔 악몽은 어떤가요 ?
[잡담]소서 고수님들 모코코가 소서하기 괜찮나요??
[잡담]개같이 물려버린 선봉대
[잡담]예둔2 셋팅 특신팔찌? 특신목걸이?
[잡담]안녕하세요 팔찌 선택좀 문의드립니다!!
[잡담]치신환류인데 극치환류로 옮겨가볼까 생각중이에요
[잡담]점화소서 특화 1800 맞추는게 중요하진 않죠?
[잡담]소서 팔찌 추천 부탁드려요~
[잡담]오늘부터 노노저받...(97돌첫레이드)
[질문]안녕하세요! 특치악몽 점화소서 보석관련 질문입니다.
[잡담]예3타3아1 환각인데요
[잡담]서릿발 1~2트포 쓰는분들 있나여??
[잡담]환류소서에서 점화로 넘어가려는데
[질문]발화는 왜 표기 대미지와 다르게 나올까요?
[정보]화염수류탄에도 점화가 묻네요
[잡담]소서 각인 예둔하고 저받중 고점높은게 뭐죠?
[잡담]딜찍팟에선 예둔환각이 좋은지 모르겠네용...
[잡담]뉴비.세팅 추천 부탁드려요!!
[잡담]회심 40 드디어 깎아서 기부니 좋네요
[잡담]점화 정리하고 환류 가려는데
[질문]소서 딜사이클 문의
[잡담]님들 혹부9홍이랑 10홍차이
[질문]하브 4관 꿀팁 있을까요?
"[잡담]다들 소나벨 어떻게 가시나요,,?"
[잡담]진짜 리버스가 리액트랑 딜 비슷해요?
[잡담]돌풍 룬 뭐드시나요?
[잡담]특치 점화 딜싸이클질문
[잡담]배럭소서 종리해가 안되는데
[잡담]뉴비 세팅 추천좀 부탁드립니당
[잡담]스킬 포인트 분배에 대한 개인적인 생각
[잡담]1635 점화 노카운터(+카운터) 10분 dps 2720만
[잡담]소서 아에 빼고 리버스채용트리
[잡담]★오늘의 2주차 모코코일기 ★
[잡담]엘릭서 치피 추피 어떤게 좋아요? 골라주셔요
[질문]소서 빠준트포 질문입니다
[잡담]특치예둔환각 각인 뭐가 더 쎌까요?
[잡담]드디어..ㅠㅠㅠ
[잡담]점화소서 라자람 60줄 이후부터 딜타임 어떻게 가져가는지 팁좀요!
[잡담]점화 타이밍이  치적확률에 영향을 주나요?
[잡담]돌 새로 깎으면서 특치예둔 갈 메리트가 있을까요?
[잡담]약 90일 걸려 맞춘 내 보석들 ㅠㅠㅠㅠ 힘들어따
[잡담]악몽이면 익플 정신강화 트포 안쓰는거에요?
[잡담]환류로 예둔+마증 버리고 돌대+최일 어떰??
[질문]돌풍 빌드중에 아덴 수급 제일 좋은 트리가 뭘까요
[질문]치신 환류 33333 유물 세팅할때
[잡담]소서 달인? 회심? 예둔? 조언좀 부탁드리겠습니다!
[잡담]소서 각인중 저받보다 예둔효율이 더 좋음?
[잡담]소서 각인
[잡담]라카이서스 종해 해종 둘중에 머쓰시나요
[잡담]특치예둔이 확실히 좋긴하네요
[질문]제 소서 딜이 약한 이유를 잘 모르겠습니다..
[잡담]혹시 치신 점화1 세팅 실전성 있는 세팅인가여?
[잡담]세팅 질문드립니다
[잡담]본캐 소서 첫 고대 세팅 질문
[잡담]팔찌 골라주세여
[잡담]리버스 돌풍인데
[잡담]나의 로아 짧 일기 및 현발자취... (2021.08.16 ~ 현재)
[질문]97돌 vs 25강
[잡담]1620 보석 어느정도 이신가요?
[잡담]라우리엘 질문 하나 드려보아용
[질문]돌풍 홍염 체감이 되는 편인가요??
[잡담]막 종날전에 끝마 들어가는게 어렵네요
[정보]인증특치 점화 소서리스 고대 세팅 가이드
[잡담]리버스 들고싶은데 이렇게 바꾸면 되나요?
[잡담]요즘은 노카운터 8번째 스킬에 뭐넣나용
[잡담]소서 스펙업? 보석 순서?
[질문]특치 점화 환각셋이 좋다고 하는데 이건 엘릭서 있을 때 얘기죠?
[질문]세팅이 고민입니다.
[질문]소서 세팅 질문
[질문]스텟이 좀 낮은데 이 팔찌 종결이겠죠?
[잡담]팔찌좀 골라주세여
[잡담]점화 특화 효율이 얼마나 될까요
[잡담]특치환각 아드 빼는건 워떠유?
[질문]극치악몽 환류 하시는분 계신가요
[잡담]특치환각할건데 종말 9렙홍염주고 신속팔찌 필요한가요?
[잡담]상아탑 2관 질문있습니다;;
"[질문]안녕하세요, 소서 세팅 추천 부탁드려도 괜찮을까요?"
[잡담]점화 리버스 리액트 못쓰겠다 빼버리고 싶다 ㅠㅠ 핵발암이네
[질문]형님들...
[잡담]극신환류 치적 관련 질문입니다
[잡담]블레 홍염 vs 혹한 멸화
[잡담]극치환류 아3에1 되나요?
[잡담]레이드별로 서폿이 이거 해줬으면 좋겠다 하는거
[잡담]특치 환각예둔 볼텍스 쓰고 계신분??
[질문]약점 노출 팔찌 어떤가요??
[잡담]모코코 소서 진로 질문이요!!
[잡담]점화 97돌셋팅 질문드립니다
[잡담]환류3차각성기 유출 보고왔음
[잡담]극치 환류 소서 질문있어요~
[잡담]소서 점멸 개선안 2개 평가좀
[잡담]소서 선생님들/...
[잡담]특치소서 에아달린와인묵나요 베르닐와인묵나요
[정보]특치 점화 소서리스 세팅별 종해종 사이클 딜량 비교
[잡담]절정이랑 상하탑다녀왔는데 객관화좀 해주십쇼!
[잡담]모코코 팔찌 선택 부탁드립니다.
[잡담]점화 카던 팁 있나요?
[잡담]환류에서 점화고대세팅 해줄려는데
[잡담]팔찌에 300만골 썼는데... 지능 눈치없네 그냥 준종결로 하는게 맞죠?
[잡담]유물 특신점화 종리해가 안되네요ㅠㅠ
[질문]지금 특신 원점타속아에1 쓰는데 특치악몽으로 바꾸려는데요
[잡담]특신 세팅 한번만 봐주세유
[질문]선생님들 팔찌 확인 부탁드립니다. 300만골 들어갔어요ㅠ
[잡담]소서 고대셋팅 처음 해줄라면 요즘 각인 뭐가좋나요
[잡담]트리시온 수련장에서 마나중독 이거 끄는 법 있나요?
[질문]요즘 치특신 2악4지 없나요?
[잡담]특신 정단 소서
"[잡담]특치 원점속아저에1 타대, 예둔으로 바꿔야할까요."
[잡담]소린이 치명7퍼 질문드려용
[잡담]노혹부 서릿발 리액트 리버스 빌드 좋음?
[잡담]모코코 소서 점화특신 세팅 질문드립니다ㅠㅠ
[질문]환류소서 스킬
[잡담]1540 소서 세팅질문
[잡담]유물장비 환각? 악몽?
[잡담]환류 아쉬운분들 치신점화 해보셈
[잡담]하향맞은 충격이 게시판에 계속 드리워져있는거 같음 ㅠㅠ
[잡담]보석 렙 낮으면 정흡도 좋지 않음?
[잡담]형들 1460 뉴비 질문 있습니다
[잡담]아드2 악몽기준으로도 세팅 새로 맞추는 거면 예둔이 낫나요?
[잡담]이번에 복귀한 중고뉴비 질문드립니다
[잡담]환각셋팅 마나 관련 질문
[잡담]점화로 내부가시는분 있나요
[잡담]소서 세팅 양자택일
[잡담]환류는 아덴에 딜 관련된게 달리지 않으면 희망이 없는듯
[잡담]특신환각 -> 특치환각예둔 1일차
[잡담]악세 새로 맞췄는데 팔찌 고민입니다
[잡담]소서는 타대가 필수인가요?
[잡담]세팅잘못한건가요?
[잡담]아드2 세팅으로 악세 새로 맞춰줘야 하는데 예둔이 낫나요?
[잡담]특치 예둔 환각세팅
[잡담]돌풍 트포 빠준인가요? 날시인가요?
[잡담]특치 VS 특신 점화
[잡담]악세 에반데 ㅋㅋ
[질문]점화 보석 세팅 질문 있습니다
[잡담]1302 모코코 소서리스에요! 뉴비는 가이드가 어디있을까요..?ㅠㅠ
[잡담]요즘 다들 보석 어떻게 들고 다니시나요?
[잡담]환류 개선안은 점멸 자버프가 최선인가요 정말로
[잡담]아3에1 달인40 위치가 어느정도 될까요?
[잡담]특치점화 팔찌 추천좀 부탁드립니다
[질문]소서 셋팅질문입니다
[잡담]예둔쓰면 무적권 환각인가요?
[잡담]뉴비 환류 궁금한점이 있습니다
[잡담]점화 소서 팔찌 추천좀
[잡담]서릿발에 전설 압도 낀거 비교짤
[잡담]뉴비소서 드디어 종말 1억클럽ㅠ
[잡담]점화3 돌대6 품백
[잡담]환류 아브내부 괜찮나요?
[잡담]극치환류 유물 세트 질문
[잡담]특치환각예둔 회심없이 가도 상관없나요??
[질문]뉴비 환류 궁금한게 2개 있어요
[잡담]환류 달인 회심중에 뭐가더좋나요?
[잡담]뉴비 서릿발 리엑 리버스 빌드 궁금한점있어요
[잡담]소서리스 하탑 올리려는데 질문이요
[잡담]엘릭서40찍는 팁있나요....
[잡담]상하탑 환류 혐오 극혐이다 진짜
[잡담]소서 진로 질문입니다
[잡담]점화소서 혹시 돌풍 빠준에 홍염보석 착용해서 사용하시는분 계신가요?
[잡담]점화소서 질문입니다
[잡담]극치환류 익스 씨는분있나요?
[잡담]특치예둔환각 리버스
[잡담]특치에 환각입고
[잡담]어제 신속점화 궁금해서 같이 상노탑 갔는데
[잡담]소서고점은 달인인거 같네요...
[잡담]예둔환각 스킬조언좀 부탁드립니다.
[질문]뉴비소서 질문있습니다.
[질문]뉴비모코코인데용
[질문]소서 진로 질문있습니다!
[잡담]원점속타아에1 > 원점속타아예2 넘어가면 유의미한가요
[질문]소서 예둔2 별로에요?
[잡담]현시점 점화 소서 최고점 세팅이 뭘까요?
[잡담]점화에서  환류로  질문좀 드릴께요
[잡담]소서리스 너프 진짜 뼈존나아프다
[잡담]극신환류 스킬일케써도되나요?
[잡담]소서중 제일 재미있는 셋팅이 뭐라고 생각하세요?
[질문]점화 333331각인질문
[잡담]점화 요새 잔혈힘든가여
[잡담]마중에서 끝마로넘어갈때
[잡담]특치 점화 대세 스킬트리가 궁금합니다
[정보]특치 점화 질풍룬 (팁일수도..)
[잡담]여기서 특치예둔가면 딜이 높아질까요?
[잡담]진짜 처음 하는 점화소서입니다
[잡담]팔찌질문 형들이면 뭐 쓸거같아오
[질문]고대가면 점화가 나을까요 환류가 나을까요
[잡담]특치예둔환각 예3아1 쓰시는분들 달인쓰시는 분들 계신가요?
[잡담]특신정단 > 특신아드환각 갈만한가요
[잡담]환류 강투글보고 느낀점
[잡담]소서 딜사이클 질문
[잡담]보석 선택
[잡담]하칸에서 최근에 깨달은 환류 플레이 하나 있어
[잡담]점화분들 궁금해서 물어본다이
[질문]예둔시집 6  10돌 이거 살릴 방법 있을까요?...
[잡담]종리해? 종아해? 특신은 둘다되는데 뭐가 더좋나요?
[잡담]특신 환각 운영법
[잡담]유물구간 악몽 소서 질문있어요
[질문]2악 4환 예둔은 괜찮아?
[잡담]점화 원한2 효율은 어때요?
[질문]엘릭서vs 보석10렙작
[잡담]보석 뭐부터 할까요??
[잡담]서릿발 선딜 어느정도인가요?
[잡담]리엑트? 리버스?
[잡담]달인 vs 회심 계산기 v1.1.0
[잡담]큽... 88돌 ㅠㅠ
[잡담]서릿발+리버스+리액트 빌드 실전에서 사용해보신 분 계신가요?
"[잡담]점화소서 빌드별 장단점 (리버스,리액트,서릿발,혹부)"
[잡담]환류 → 점화
[잡담]매칭에 이상한 사람 들어와도 그러려니 하시나요?
[잡담]상아탑4관. 무력질문
[잡담]너무 서럽네요
[질문]1580 소서 질문 있습니다
[잡담]진짜 남은건 돌 뿐인가
[잡담]전기채찍 소서 너프당하고 뭐해야됨?
[잡담]아드 빨지 맙시다.
[질문]회심 달인 관련해서 고수님들 의견을 듣고 싶어요
[잡담]응애 소서 신비 전압 횟수3회짜리 싸게 올려줭!
[질문]악몽 점화 소서 질문입니다
[잡담]특치 저3아1에서 예3아1로 갈만한 메리트가 있을까요?
[잡담]점화소서 질문
[질문]유기시켰던 소서배럭 다시 잡으려는데 환류 영 아닌가요?
[잡담]1621 치신즉발환류 DPS 1800 vs 특치 환각점화 DPS 2100
[잡담]상아탑 4넴 왜이렇게 어렵나요.... ;;
[질문]점화 97세팅 질문 드립니다!
[잡담]바니바니~
[잡담]프리우나 라우리엘 ㅈ같은게 정상인가요
[잡담]예둔3 아드2/ 저받3 아드2 악몽 뭐가 쌘가여
[잡담]ㅋㅋㅋㅋㅋㅋㅋ아오 또 리버스돌이네
[질문]회심40렙일때 장비 및 각인 셋팅 질문
[잡담]보석 우선순위 질문
[잡담]예둔2 진짜 넘모 고민되네
[잡담]특치 예둔 아1 점화 팔찌 알려주세요
[잡담]환류에서 점화 할려는데 치특 환각예둔 아1 세팅 하면됨?
[잡담]점화 특치에서 특신으로 가니깐 너무 좋네요
[잡담]특치 점화질문
[질문]악몽 아3에1은 장점이 뭔가요?
[잡담]극신환류에요
[잡담]환류 해일빼고 종날쓰시는분 많나요?
[잡담]하탑에서
[잡담]요즘 리버스 채용하는데 무슨 스킬을 버리고 쓰시나요?
[잡담]이번 패치로 스킬 어떻게 채용하시나요?
[잡담]가르가디스 카운터채용 노각물 기믹전 4점화+아덴50%
[잡담]혐짤 올리는 새끼들은 진짜 영구퇴출 안되냐
[잡담]아아악 오해에요 ㅠ
[질문]팔찌 계산기에서 특화 수치
[잡담]안녕하세요 소서고수님들
[잡담]점화분들 점멸 쓰세요 ?
"[잡담]리엑,아애 홍염업글 의미 있을까요 ?"
[잡담]혹부 자리에 리버스 넣는 게 히트인가?
[잡담]형님들 둘중에 뭐가 더 나을까요
[잡담]점화6 돌대3
[질문]팔지 뭐 쓰시나요?
[잡담]극신점화 실전성 있는 트리에요?
[질문]보석질문잇슴당
[잡담]신속 점화 예둔 악세 팔림??
[잡담]신치 반반 4악 2지 어때요 ??
[잡담]팔찌 만족할만한게 드디어 나왔어요! + 토깽이 귀여웡
[잡담]토끼탈 소서로 받으신분
[잡담]특치 예둔 환각 스킬고민
[잡담]소서 스킬&트포별 아덴수급표같은건 없을까요?
[잡담]소서무기압 무난하게 이쁜거 뭐있나요
[잡담]스펙업 조언좀 부탁드립니다
[잡담]돌풍 트포를
[잡담]예3아1 vs 아3에1 추천부탁드립니다!
[잡담]지금 스킬로 아덴을 100만큼 채울 수 있다고 할 때
[잡담]도화가랑 파티가셔도 끝마 잘 보시나요?
[잡담]솔직히 회심 선봉대가 좋다고 해도
[잡담]극신환류각인이요
"[잡담]근데 기믹 만빵인 직업 1,2퍼 차이로 이겨봐야.."
[잡담]달인 vs 회심 계산기 v1.0.0
[잡담](재업) 카운터 개편 여론조사
[잡담]예둔은 각인 어떻게 가나요??
[질문]1540에서 악몽 쓰러면 무슨 세팅이 좋을까요
[질문]팔찌 특신 특치
[잡담]직업별 카운터 특징 조사
[잡담]극신즉발환류요
[잡담]마지막 종말에 끝마 뭍어도 상관없나여?
[질문]특신 저받 사용 가능한가요?
[잡담]어떤게 완성도 있는 빌드라 생각하시나요
[잡담]환각셋 마나새는거 음식으로 커버가능한가요
[잡담]너프 이후 1631 소서의 셋팅 변화 후기
[잡담]노브별딜이염
[잡담]딜 기믹 딜 기믹 구조면 센게 맞고 세야하는게 맞지
[잡담]아3에1>예3아1 바꿀만한가요..?
[잡담]점화소서 세팅알려주실분
[잡담]근데 생각해보니까 또 화나네
[잡담]진짜 헬 끌고오는건 에바
[잡담]극신환류vs극신즉발점화
[잡담]특신 점화소서 엘릭서
[질문]상아탑 하드 스펙 질문드려요.
[잡담]혹부 빼고 리버스 리액트 트리
[잡담]일라아칸 노말 1관 타임어택때 점화 쓰시나요?
[잡담]로아는 카운터에 대해 참 신기한 게
[잡담]30추 방토글이머에요?
[잡담]종익천 다음 멸화 뭐 올려줘야됨?
[질문]환류에서 점화로 세팅 조언 부탁드립니다
[잡담]소서로 잔혈먹는법
[잡담]점화소서 너프당할정도로 dps가 높은편이였음?
[잡담]극치환류 2악4지는어떰??
[잡담]카운터가지고 또 난리났네..
[잡담]특치 점화 셋팅 질문입니다..
[잡담]현 소서 카운터의 아이러니
[잡담]헬 보정 컨텐츠 소서는 관짝 갔는데
[잡담]소서 다음 보석 뭐 올릴까요?
[잡담]카운터를 많이 안들면
[잡담]속속2 세팅질문있습니다
[잡담]어제 처음으로 인게임 소혐 당했어요 ㅠㅠ
[잡담]카운터 안들어도 되는곳이 어디어디에요?
[잡담]못이기겟다 창술..
[잡담]소서 소나벨에서 별로임??
[잡담]요새 인식 때문에 스트레스 존나 받음 흑화 직전;
[질문]뉴비 팔찌 뭐가 더 낫나요
[잡담]환류 트포 질문
[잡담]극신점화 정보 어디서 보나요
[잡담]소서 그래서 예둔가야함 저받가야함?
[잡담]블레 멸화뻬고 돌풍 홍염
[잡담]리액트 뺴고 리버스 갈려는데 트포 어떻게가요?
[잡담]스펙업 뭐부터 해야하나요
[잡담]점화는 딱 레이드빨로 너프먹은거같은데
[잡담]선생님들 상노탑 트라이 가도 될까요?
[잡담]음...요즘 캐환 많이 구릴까요?
[잡담]97돌 예2 쓸수있지않을까요?
[잡담]팔찌 계산 이렇게 하는거 맞나요?
[잡담]라카이서스 30줄 점멸 팁 있나요
